category,edit_distance,rouge1,rouge2,rougeL,rougeLsum,bert_score_precision,bert_score_recall,bert_score_f1
direct recognize_50%,9.883333333333333,0.056468253968253966,0.008333333333333333,0.056468253968253966,0.056468253968253966,0.7802502105633418,0.8571331679821015,0.8163629909356435
without context_50%,9.05,0.36789682539682544,0.215,0.36789682539682544,0.36789682539682544,0.8953387876351674,0.9021295954783758,0.8982139011224111
with context_50%,7.05,0.5549603174603175,0.38555555555555554,0.5549603174603175,0.5549603174603175,0.9213874866565068,0.9278443733851115,0.9243807415167491
direct recognize_70%,13.25,0.3242063492063493,0.2038888888888889,0.3242063492063493,0.3242063492063493,0.8416065752506257,0.8928273926178615,0.8658183793226878
without context_70%,12.766666666666667,0.49813492063492065,0.4033333333333333,0.49813492063492065,0.49813492063492065,0.9152026792367299,0.9258140355348587,0.920172643661499
with context_70%,12.166666666666666,0.5419841269841271,0.4533333333333333,0.5419841269841271,0.5419841269841271,0.9200531482696533,0.9309345344702403,0.9251862267653147
